"","sa1"
"712411",517
"2082587",119
"1871022",1115
"2003188",588
"2847307",4
"1871031",736
"2779519",382
"1382",623
"3022127",269
"604330",854
"712157",513
"82135",474
"2894156",546
"1643826",2269
"84111",1782
"84112",99249
"2690837",1374
"502558",925
"447020",1087
"446660",15364
"2707299",1895
"644652",794
"1335613",9826
"471189",3554
"1907662",3991
"1944646",1167
"84110",886
"2815775",8
"2734634",443
"1531429",391
"1870985",767
"2682776",679
"79604",497
"84163",187
"588673",57
"2884022",389
"2812560",109
"2937801",61
"2937800",39
"191495",172
"2997333",163
"496014",103
"2949664",143
"2843200",10
"2843216",160
"2843215",80
"29539",10
"633392",5
"467975",1
"2722752",158
"467976",152
"2849779",205
"2789776",135
"2884263",66
"467094",98
"53635",12
"42255",88
"49319",229
"42256",203
"2653851",160
"2653852",92
"2051957",31
"1608957",208
"1670830",82
"1670831",62
"1161",336
"1162",270
"1177",338
"1261031",400
"1618022",53
"1869241",440
"317936",307
"1751286",274
"2764711",248
"3134896",247
"28072",236
"2576902",207
"103690",205
"76335",144
"2576904",135
"2576903",84
"2914041",53
"2572090",25
"3025190",9
"3056647",3
"1306274",402
"446679",285
"272131",267
"264686",257
"1178",111
"224012",42
"1357545",442
"1163",1
"46234",299
"1647413",33
"1165",82
"1620816",281
"142864",155
"1164",31
"99598",513
"1337936",308
"2005462",233
"1170562",196
"748770",23
"747522",245
"136073",31
"1166",24
"1914871",10
"159191",22
"70799",152
"137816",125
"77021",37
"77022",126
"747548",15
"984207",84
"156213",78
"1752063",247
"2597771",144
"2099387",137
"373994",215
"1397703",51
"1890424",102
"1916956",249
"1353136",248
"195253",224
"2789857",216
"1442557",200
"1400865",177
"1400866",169
"1050638",155
"1442551",139
"321327",136
"1280380",134
"1353147",132
"2751171",121
"32052",110
"1050624",106
"166314",101
"2741953",95
"232348",88
"2907159",87
"2936507",82
"1353138",80
"2751170",79
"1400864",73
"2511069",72
"166309",65
"585423",61
"1968775",60
"321332",55
"221341",54
"221350",51
"1050657",43
"1442554",38
"1386941",38
"1442556",34
"64471",30
"195250",28
"1050635",27
"110662",23
"59932",21
"1442555",18
"585425",16
"1173263",16
"1050714",11
"221352",10
"1442558",9
"1050646",3
"316279",2
"32046",439
"292566",132
"1218",69
"1219",1753
"3096220",194
"1501268",91
"3096217",34
"3096219",34
"3096218",25
"3096221",21
"1501269",9
"2304190",231
"1851505",153
"261284",51
"59930",180
"2881428",38
"1933929",99
"2782213",39
"1147",31
"2732530",1
"1118",154
"2815910",2
"669359",671
"1617448",195
"1615909",45
"374981",161
"195248",138
"111781",122
"32049",36
"454133",18
"2579791",2
"374982",1
"102234",20
"379064",162
"2878255",91
"2976343",37
"1890450",29
"28070",3
"2546356",507
"2546359",167
"713887",241
"2546360",121
"2546366",81
"65093",581
"577489",26
"1173026",178
"2859516",176
"1125",108
"1126",214
"513223",29
"44822",1
"1967666",1
"1892254",1
"1155739",961
"482564",297
"118323",218
"2974039",277
"54304",149
"1160",216
"1678309",21
"132604",18
"59512",3
"2874213",86
"2596745",215
"147322",42
"222819",85
"1184",833
"1115757",176
"2812896",132
"1080068",63
"2803751",3
"2931930",673
"2917832",443
"2906798",151
"1481672",171
"3045816",118
"146785",378
"1394889",225
"2933959",36
"2937792",8
"2814275",5
"2813673",1
"3074086",1
"146786",94
"155977",72
"155978",259
"310037",57
"2740837",3
"1152",10
"2963092",334
"685565",293
"82654",120
"71190",305
"1112103",60
"54298",153
"2653189",223
"155894",110
"54299",23
"3065396",373
"2303528",90
"2811482",10
"1173032",359
"241425",114
"33071",53
"33072",99
"1416614",88
"2907343",57
"2857077",116
"52604",9
"118163",226
"3040204",62
"102116",103
"3037479",203
"1209493",99
"2886352",282
"1173025",191
"33070",37
"1188228",29
"1763363",45
"3034674",8
"718217",4
"186328",6
"2132",210
"3066278",251
"3066282",189
"3066289",127
"216964",107
"3066300",75
"3066297",57
"3066322",46
"3066290",35
"3066321",28
"3066276",18
"3066279",14
"216963",13
"3066283",12
"3066284",10
"3066286",8
"3066288",8
"3066313",6
"3066314",6
"3066287",6
"2886375",5
"3066291",4
"3066281",3
"2570468",3
"1209220",3
"3066305",2
"3066307",1
"3077930",1
"3066293",1
"216946",250
"2145",238
"216938",171
"362837",163
"315358",146
"216932",125
"216944",124
"2141",120
"216934",82
"216933",70
"2133",50
"216935",50
"216931",42
"2143",36
"2136",34
"2138",28
"2137",20
"2139",19
"216936",14
"324079",13
"216942",12
"216945",9
"47834",3
"47835",1
"301585",1
"216937",1
"46239",263
"2151",385
"219745",182
"138853",22
"81459",6
"216427",6
"324078",5
"2149",1
"225999",1
"74700",111
"215578",179
"214888",21
"2093",234
"353851",331
"2810348",245
"2967302",39
"1749074",30
"754514",18
"2683967",18
"2742195",12
"640330",9
"2725994",7
"2801918",3
"3108483",3
"2967301",1
"1179777",216
"2102",151
"2105",92
"2095",8
"984991",239
"754515",223
"51364",211
"519450",201
"65123",163
"171632",86
"51365",71
"512749",65
"2123",39
"57372",34
"1612150",33
"2726117",33
"353852",28
"754516",28
"292461",27
"547987",26
"2963128",26
"538220",18
"754517",12
"3004105",9
"50052",9
"273136",4
"29501",1
"1609546",6
"295596",2
"2146",36
"33926",4
"35780",200
"399025",173
"135727",16
"186171",49
"39647",44
"69896",70
"59748",12
"2155",51
"37692",19
"35773",8
"38986",423
"2735436",273
"29552",240
"2148",44
"264636",38
"61635",73
"2790996",11
"2895623",385
"2767358",4
"171284",383
"33923",224
"48003",193
"171282",159
"142650",153
"2109",152
"29553",122
"171279",90
"53558",67
"2110",56
"29555",51
"114883",51
"171281",49
"28903",44
"35768",42
"114885",42
"29561",39
"114880",32
"2107",31
"2112",27
"76629",26
"29556",23
"171291",15
"55603",10
"2113",8
"2094",8
"2115",5
"114881",4
"171285",4
"2923352",9
"29562",350
"171286",190
"45362",93
"45361",92
"2118",69
"2120",47
"2099",40
"2100",36
"86660",28
"171288",25
"2128",2
"2098",334
"2124",242
"92400",54
"29559",36
"2121",32
"45363",29
"35769",22
"29554",19
"92407",6
"142649",6
"92404",4
"92402",2
"92401",1
"2790998",1
"28227",493
"2116",201
"2104",65
"2096",30
"2097",15
"92758",11
"2129",11
"42094",34
"134821",24
"2130",2
"2782163",385
"2725268",294
"1298",729
"2939437",477
"2917691",242
"3093660",196
"2652443",138
"2080419",34
"2737050",350
"310783",343
"32062",342
"200252",313
"502394",304
"57497",226
"328692",207
"980427",202
"1299",200
"317577",194
"55148",186
"309887",183
"1768108",180
"68909",128
"432329",121
"1211322",121
"2489213",115
"1309411",75
"2202254",75
"1889240",72
"1182568",55
"188786",87
"270",329
"274",537
"2483360",208
"271",192
"1111069",122
"2849039",34
"2918899",7
"56957",103
"37636",61
"56956",46
"88190",17
"65551",77
"172827",229
"277",127
"52022",96
"187137",87
"186192",27
"332249",106
"120961",24
"357808",765
"120962",311
"1107",1
"1108",231
"152260",170
"3003348",228
"61434",143
"61435",676
"1522671",39
"670486",1
"1536648",193
"3127115",121
"1839801",114
"3038979",85
"167964",619
"1986204",335
"913107",185
"2509675",514
"1495650",365
"166501",310
"1806508",264
"2710758",214
"2682228",14
"2601677",108
"3004094",81
"133453",181
"1005039",427
"2219043",319
"454171",318
"2057",133
"500",59
"2993937",1
"3016050",77
"91347",34536
"543",1675455
"561",36240
"562",357511
"208962",4911
"564",3449
"2044467",1517
"2509666",259
"2509662",157
"2725997",25
"2935450",7
"2509664",5
"2860337",1
"1499973",2147
"570",3528
"573",5618
"1463165",1068
"548",1004
"571",845
"1134687",842
"2787706",43
"2873296",9
"2488567",8
"2675710",5
"2742650",2
"2267618",2
"2851540",2
"2675713",2
"2675726",2
"2951084",1
"2834819",1
"2697371",1
"2015795",1
"3081203",1
"1905288",1
"244366",406
"2153354",265
"1259973",160
"2026240",102
"2489010",96
"2058152",67
"2587529",5
"160674",354
"577",287
"54291",235
"575",221
"2923366",132
"2259647",9
"2993656",1
"547",2819
"61645",1065
"550",876
"158836",848
"2494701",603
"1812935",510
"69218",423
"208224",317
"299767",240
"2071710",210
"2497875",158
"2027919",62
"1329841",28
"2969431",2
"2077136",2
"2077137",2
"2912628",2
"1329816",1
"2850493",1
"2876028",1
"3029761",49
"2724468",289
"399742",271
"2742676",213
"2866201",127
"2870346",126
"3104013",102
"2976431",91
"1914861",81
"3077940",77
"2831891",63
"2705458",39
"2707174",20
"1166130",18
"2836161",16
"2831890",9
"2565914",9
"3026145",8
"2500132",7
"2742639",6
"3080020",4
"1560339",4
"2720029",2
"1632810",1
"539813",642
"2478464",400
"881260",298
"2529381",237
"885040",219
"2494702",77
"2996112",48
"2497436",16
"544",3756
"546",1274
"57706",757
"1639133",518
"1748967",133
"1686380",63
"2066049",44
"2077149",3
"1686378",1
"67827",82
"67826",22
"133448",12
"67828",5
"2742624",362
"1573676",162
"184912",75
"2697370",66
"2742653",52
"1439319",34
"2742663",27
"2781952",24
"1920110",23
"2742626",15
"2716879",7
"1703250",5
"1702170",4
"2742627",3
"2742670",3
"2807631",3
"2683822",3
"2742648",3
"2742632",2
"2742625",2
"2742668",2
"2742675",2
"2742661",2
"2678565",2
"2861801",2
"2566012",2
"2861802",2
"2942480",2
"2742641",1
"2742647",1
"2742654",1
"2742655",1
"2742659",1
"2742667",1
"2742678",1
"2660638",1
"3015952",1
"545",595
"67824",538
"35703",493
"2971264",361
"67825",342
"2546350",211
"2562449",134
"1563222",110
"1914243",39
"590",771
"28901",6601
"54736",608
"599",124
"2879113",25
"2874627",16
"2745892",3
"3030528",2
"2686305",2
"2745895",1
"3030530",1
"3030529",1
"2991700",1
"2833771",1
"2500542",1
"620",958
"623",2152
"622",1725
"621",1102
"624",613
"1330547",831
"3139408",339
"2980557",258
"2725560",212
"2067958",34
"2492396",21
"208223",622
"1158459",249
"1005665",198
"551989",151
"283686",106
"1646340",63
"497725",56
"83654",1075
"83655",1049
"2714951",156
"2681307",41
"2898725",32
"2282310",11
"2282309",7
"2681308",7
"1920114",4
"2681309",3
"1920116",1
"2815358",194
"158483",29
"158822",1201
"2545798",320
"158823",257
"203804",206
"2681987",56
"1505596",24
"1505597",10
"700220",7
"2681986",4
"3118169",4
"2945587",2
"251538",73
"251535",28
"108080",4
"251540",1
"1594731",2
"1410383",424
"3077956",224
"568987",71
"138072",59
"134287",39
"1199245",10
"2871826",307
"1778263",64
"1835721",17
"1778262",10
"472834",9
"1070130",7
"1778264",5
"413496",463
"28141",443
"413497",310
"413503",174
"1163710",119
"535744",114
"1906275",14
"413501",8
"579",219
"61648",382
"580",356
"51288",296
"2774055",55
"2873269",47
"1330546",1
"61647",689
"1334193",474
"82976",248
"82977",419
"2986951",201
"2479367",38
"82989",125
"3073902",95
"1330545",2
"3110110",315
"2067959",192
"2153385",36
"61646",412
"2675775",262
"2675780",200
"2675773",190
"2675783",83
"2675797",69
"2675794",56
"2675795",33
"2675782",27
"2675793",26
"2675786",12
"2675790",9
"2675772",4
"2675789",4
"2675776",2
"2675774",2
"2675787",1
"2675792",1
"2675791",1
"2675785",1
"2675781",1
"703",623
"2579935",617
"379893",522
"3031919",521
"1903434",12
"565",240
"255519",240
"447792",319
"1972431",138
"1756993",27
"2487150",1
"395631",6
"563",453
"1505757",329
"2891570",324
"566",306
"158877",303
"1851514",266
"2047724",228
"2864218",61
"1177216",10
"1987921",8
"401619",6
"428411",5
"1081631",9
"168169",6
"1903411",469
"613",2738
"615",878
"2986763",391
"671990",49
"2447890",31
"2448483",18
"2033438",18
"2420306",15
"2831896",9
"2773264",8
"2831894",3
"2785630",2
"2831893",2
"1758196",1
"1327989",1
"3112561",1
"2485839",1
"488142",1
"82996",379
"82995",272
"61652",269
"138074",238
"47917",237
"614",236
"28151",187
"42906",153
"300181",84
"137545",83
"618",64
"2338073",59
"61651",46
"2703794",34
"2741499",24
"2597702",7
"629",1088
"630",1286
"632",81
"367190",81
"633",78
"2890317",397
"29486",393
"2339259",387
"29483",311
"935293",260
"2607663",212
"631",183
"33060",123
"29485",105
"263819",45
"634",31
"2992843",26
"29484",20
"419257",6
"28152",5
"1604335",2
"34037",484
"34038",322
"2816248",291
"2703885",251
"1805933",179
"58169",121
"1510570",91
"1513468",440
"1646377",126
"41202",386
"929813",362
"2060066",351
"1639108",286
"2126321",262
"1927833",6
"1878942",2
"1903409",333
"53335",1152
"3028622",489
"592316",246
"3141541",161
"2970818",129
"2675223",121
"2886821",111
"2787629",33
"2654189",30
"3141540",19
"2575375",14
"3024247",5
"2490851",4
"3037258",3
"1835724",2
"2576760",1
"549",926
"59814",564
"553",515
"470931",407
"3098669",389
"55209",298
"470932",193
"470934",175
"2364647",162
"472693",119
"2052056",116
"1235990",114
"1891675",109
"1076550",48
"470933",21
"3074822",16
"66269",11
"551",561
"1922217",611
"2675378",139
"3141543",137
"215689",90
"2547962",64
"2991500",1
"55212",406
"68334",386
"2681984",324
"55211",197
"3062598",170
"79967",97
"1324864",95
"552",79
"65700",72
"338565",49
"182337",19
"9",1933
"2100764",1
"1615494",237
"2872648",229
"665914",180
"665913",123
"82987",460
"53336",238
"1619313",407
"92490",152
"51229",25
"1903414",35
"586",1011
"126385",362
"2828763",98
"2939731",96
"2936799",75
"2936785",1
"333962",329
"516075",295
"588",220
"587",102
"2923283",53
"2027290",43
"158850",37
"1715285",17
"333965",1
"3053982",1
"626",63
"40576",672
"628",493
"351671",430
"40577",305
"3026967",227
"3130166",22
"290110",144
"351672",85
"351679",48
"582",1628
"583",385
"584",443
"585",299
"2697019",134
"2883107",25
"1921565",1
"1987580",148
"102862",91
"1574161",36
"183417",33
"3034648",14
"2050967",8
"29487",127
"171438",287
"2218628",233
"230089",112
"291112",39
"637",158
"3041619",64
"3066235",46
"235559",23
"1231049",12
"638",143
"2879119",76
"634113",56
"158849",205
"1903410",150
"122277",1220
"1201031",614
"1507808",274
"29471",267
"554",205
"180957",201
"2488639",164
"1905730",128
"2108399",113
"2485124",74
"2042057",69
"3073862",67
"55208",46
"2914983",30
"2738983",12
"2949614",1
"2774015",38
"69221",33
"2204145",19
"78398",16
"2778550",12
"2878098",2
"204037",1410
"204042",516
"556",507
"204038",254
"1778540",156
"1089444",146
"568768",109
"204039",107
"2259638",93
"1240404",70
"568766",16
"2893572",5
"71655",471
"1109412",292
"2722756",178
"55213",125
"598467",1
"1082702",53
"1172565",688
"1082704",130
"3059405",134
"3057057",104
"104623",14
"69223",232
"1903412",85
"635",545
"93378",263
"1263550",229
"636",163
"67780",154
"1821960",1
"568",116
"569",495
"546367",157
"82983",227
"84565",144
"1929246",325
"1486991",210
"2697027",204
"1239307",156
"63612",147
"745410",17
"3029055",296
"3131927",292
"2291597",272
"2172100",83
"2498113",221
"2172103",162
"158841",254
"82985",133
"72274",292
"135621",1831
"286",18432
"2954079",400
"2954084",364
"2614442",345
"3029060",345
"2219057",328
"3074146",317
"2487887",309
"1856685",307
"2748080",305
"1573720",290
"3002903",288
"1573718",262
"2931382",262
"2815936",244
"2320270",240
"2901380",229
"2974552",226
"2730848",226
"3141539",222
"3096605",217
"2706126",213
"3048613",207
"2971912",201
"2049589",191
"3139142",188
"3048607",182
"2895480",181
"3078264",170
"3077589",151
"2954091",148
"2994661",145
"1573719",144
"3016341",143
"2054919",140
"2870750",139
"2961531",137
"2883205",135
"1283291",134
"3137451",133
"1344094",131
"2866808",129
"1357074",128
"2850559",127
"1027966",126
"2498848",125
"2841064",124
"1206777",122
"2653853",118
"2893890",116
"2126069",115
"3110111",113
"2705472",112
"2866592",112
"2479392",112
"2052956",108
"1294143",107
"2201356",106
"2675224",102
"3043448",102
"3048629",102
"2895486",102
"3019098",101
"1500687",100
"1207075",99
"2991051",96
"1881017",95
"3048583",95
"2073078",94
"75692",93
"2895493",92
"1028989",89
"2874628",89
"2976884",88
"2735906",86
"2678257",84
"1636610",84
"2730847",81
"2025658",78
"1736226",78
"1898684",77
"2604941",76
"2678260",74
"2962597",73
"2998079",73
"2678259",70
"2973088",70
"1930532",68
"2954086",67
"2954094",67
"2870860",66
"3122375",66
"2811422",64
"2855434",62
"1173273",60
"3122079",57
"2866807",54
"3119004",52
"1506334",52
"3043441",51
"2895483",51
"2895475",51
"2972478",49
"2895495",48
"2871493",48
"2895494",47
"1573712",47
"1755504",46
"676210",45
"645292",44
"1659194",43
"253237",41
"2795724",40
"2986927",39
"1855331",39
"2730851",38
"3038925",36
"2986947",35
"1573711",34
"3020843",34
"2726989",33
"1173288",31
"2729423",30
"2954087",30
"3133144",30
"2856556",29
"3048627",29
"2975049",29
"2804761",28
"2920387",28
"2954093",28
"2895496",27
"2895473",27
"1649877",26
"2954092",26
"1382237",25
"2678261",25
"1981174",25
"2895474",25
"2083054",24
"2512235",24
"2983246",23
"2834406",22
"2590776",22
"2067572",22
"3087234",22
"1534110",21
"95619",21
"3083258",21
"3118751",21
"3019968",21
"658630",20
"3043445",20
"2954096",20
"3127460",19
"3110772",19
"2005388",19
"2866278",18
"1259844",18
"3094846",18
"3048622",17
"2738843",16
"2871095",15
"2895476",15
"2944234",15
"1500686",14
"3135254",14
"2867409",14
"3120822",14
"517398",14
"2892442",14
"2898441",14
"3136561",13
"2749999",13
"2939495",12
"1608357",12
"1886807",11
"3020907",11
"2895471",10
"2861799",10
"2749808",9
"3028807",9
"3049542",9
"658644",8
"2867408",8
"3034675",8
"2083052",8
"3042029",8
"3115647",8
"2697023",8
"2895489",8
"1611770",7
"3003351",7
"1173270",7
"2479393",7
"2954078",7
"2745519",7
"2879114",7
"2895491",6
"1827300",6
"2774873",5
"1855380",5
"3123039",4
"3048630",4
"1837993",4
"2018067",4
"2933816",4
"2954080",4
"2895485",3
"2895490",3
"2976883",3
"2954077",3
"520056",3
"3035289",3
"2799184",3
"2738126",3
"2678258",3
"2823875",3
"2821559",3
"2054914",3
"3104265",3
"1144323",2
"3090665",2
"2545800",2
"2899657",2
"2587597",2
"2921518",2
"2954099",2
"2654238",2
"2777367",2
"2774459",2
"2664899",2
"3068639",2
"1495331",2
"1573704",2
"2884805",2
"1758730",2
"2986074",2
"3127459",2
"2866282",2
"3049084",2
"2864101",2
"2069256",2
"2083053",2
"2605424",1
"2054915",1
"2954097",1
"3122376",1
"1602166",1
"1173280",1
"3095074",1
"528343",1
"3040601",1
"2954088",1
"2886361",1
"2793103",1
"2825975",1
"306",1
"3043447",1
"3058433",1
"2866626",1
"3043444",1
"147212",1
"658641",1
"118613",1
"2886360",1
"2762896",1
"2749807",1
"107445",1
"2954085",1
"294",1706
"29442",464
"76758",306
"47878",288
"200452",176
"651740",141
"183795",128
"46679",125
"200451",117
"47879",107
"200450",98
"129817",86
"76760",85
"75612",67
"1421430",66
"298",54
"47883",41
"76761",37
"75588",33
"1114970",32
"198620",31
"321662",18
"169669",6
"78543",1
"303",2060
"2078786",221
"47885",220
"47880",208
"70775",206
"1785161",141
"76759",121
"78327",61
"1940636",11
"2217867",8
"287",1469
"43263",337
"53412",284
"300",237
"53408",231
"1149133",79
"301",11
"46680",37
"95301",33
"2994495",13
"317",679
"47877",153
"29438",32
"53410",16
"33069",305
"2995658",251
"36746",78
"1190415",63
"50340",46
"251699",38
"53409",20
"46257",15
"251701",4
"200454",2
"587753",988
"380021",361
"86185",283
"658629",144
"296",94
"2614538",27
"319939",713
"2762576",444
"556533",339
"47886",338
"437900",326
"2745518",304
"1880678",281
"2867264",263
"65741",249
"2964670",242
"2746321",233
"46677",214
"104087",209
"191390",206
"158627",202
"485898",200
"1392877",198
"2604832",192
"226910",191
"2842349",188
"216142",186
"1691904",181
"3093767",172
"2493633",169
"359110",165
"2599595",162
"321846",161
"1198456",154
"930166",152
"289370",139
"1853130",136
"2745495",136
"312306",135
"237610",134
"157783",132
"2954082",132
"2961893",131
"237609",129
"2684212",123
"2812000",123
"2518644",117
"1605838",117
"198618",107
"2745504",107
"364197",101
"3040598",100
"2961896",100
"1245526",100
"2565368",97
"47884",97
"95300",93
"114707",91
"2725477",91
"1306993",90
"1628086",90
"2842357",88
"219572",87
"2745510",86
"702115",85
"122355",82
"2745490",81
"2502979",73
"1163398",69
"2505979",68
"1615674",67
"244566",64
"163011",60
"2842356",59
"2762577",56
"915099",51
"2738125",51
"157782",48
"1499686",47
"2745514",46
"2726956",46
"2965074",45
"2320867",44
"2842355",43
"1148509",41
"101564",39
"2745482",39
"515393",38
"1788301",36
"2681983",34
"640205",34
"2600598",32
"2774460",27
"395598",27
"485870",26
"53407",26
"2842354",25
"2815720",25
"2364649",24
"2745511",23
"485880",22
"2731681",19
"1274359",19
"2316085",18
"554344",17
"86265",17
"2731552",15
"2666183",14
"2906062",10
"489632",9
"2837969",9
"1495066",9
"2853159",8
"2219225",8
"2011015",8
"2993566",8
"2745503",7
"1302376",7
"2056231",7
"2942628",6
"2842350",5
"1785145",5
"2859001",5
"2774461",4
"2842346",4
"2842348",3
"2894079",2
"2745509",2
"2213015",2
"2745498",1
"2901189",262
"1708783",391
"3041098",344
"797277",325
"1931241",318
"43306",235
"857252",82
"472181",191
"553151",139
"2918528",113
"487184",80
"1434072",58
"2830842",58
"2901164",152
"316",1172
"203192",79
"1211807",3
"74829",203
"2968969",187
"2968968",17
"271420",258
"1176257",108
"2998559",86
"3022791",71
"352",279
"69964",145
"353",125
"354",19
"521720",395
"2758906",1
"2785331",224
"2213226",37
"2930213",10
"1510150",146
"1697053",45
"2742",1406
"2547598",508
"2886046",333
"3141582",309
"2817656",232
"3035454",107
"1749259",82
"2488665",58
"1415568",52
"1761794",47
"2917715",43
"50741",28
"2961995",27
"2304594",14
"1671721",11
"490759",4
"2769486",222
"2743",208
"1874317",160
"2603215",154
"2570351",145
"1305740",133
"418719",121
"1420917",112
"1389223",102
"1420916",69
"1033846",41
"330734",32
"1249552",197
"1917421",66
"135614",712
"1775411",768
"75309",1991
"416169",19107
"666685",15444
"2778082",2780
"3031330",942
"582702",1023
"231454",133
"3069105",403
"3075430",316
"2994496",233
"2501295",189
"445710",573
"231455",406
"2763498",332
"1849581",260
"522259",243
"242605",43
"564369",252
"242606",248
"2911537",188
"2589080",141
"2911538",140
"2780091",118
"2911539",56
"70411",19
"2898793",352
"1542730",336
"81475",172
"2021234",364
"2976241",273
"2010829",191
"323415",125
"993689",57
"32033",1332
"40323",1486
"2742129",2653
"2770322",117
"2691571",115
"3051120",86
"2303750",84
"3055080",79
"3055079",79
"3068324",64
"3051119",52
"2599307",36
"1827305",35
"2886359",26
"1904944",21
"2871174",17
"3027225",11
"2682487",10
"2005046",6
"2939415",5
"2282124",3
"2775920",2
"2040586",2
"2871169",1
"2954546",1
"2565559",1
"40324",1080
"2072412",157
"2072414",77
"2072413",68
"2072405",25
"2072406",9
"2072407",9
"2072409",6
"2072408",2
"3003271",400
"3003272",315
"216778",275
"128780",200
"86188",128
"487698",39
"2045451",21
"338",1617
"456327",742
"339",698
"2971236",205
"2724122",116
"2982531",68
"2971235",59
"2724123",58
"2081477",34
"2724121",22
"343",600
"56458",554
"56448",406
"347",283
"2259622",243
"56455",236
"48664",205
"56460",199
"346",195
"56459",151
"56454",138
"3003247",115
"2053930",111
"56464",90
"29447",88
"56450",79
"56453",54
"1843581",47
"1985254",42
"743699",34
"3046274",27
"53413",24
"2775159",12
"442694",3
"68",893
"2762611",261
"3140250",176
"2904252",154
"2820808",147
"2904253",139
"2781021",85
"2925843",79
"2290922",56
"2764185",28
"2781024",16
"2714936",7
"69",437
"435897",406
"2795387",283
"453783",268
"2591633",198
"1605891",169
"2865112",164
"84531",146
"2992573",146
"2822368",130
"2763317",109
"262324",94
"2698682",80
"1324796",55
"2781022",37
"1003114",35
"2781023",13
"83618",240
"2969308",210
"1664560",138
"1871049",87
"2571115",75
"2995142",34
"128785",415
"266062",288
"314722",233
"2480810",134
"415229",77
"83614",40
"2925842",231
"2799325",143
"1896164",128
"2508168",97
"2799326",90
"2761107",35
"2006110",202
"1176533",112
"2901869",84
"2565782",80
"141948",11
"2771436",129
"2714945",81
"1463158",174
"215691",130
"2884874",92
"2202149",55
"2370",30
"1444770",286
"2371",91
"2511995",178
"370777",137
"135622",396
"267890",31
"22",2406
"2698686",384
"2950245",133
"2803864",120
"2590015",92
"2029986",91
"2746932",83
"94122",82
"2864202",58
"2589987",38
"2864210",35
"351745",34
"2908650",26
"2991940",13
"2575361",10
"2775245",7
"1930557",7
"2589790",6
"60480",4
"2059264",3
"2989727",1
"2520507",476
"2864206",467
"332186",462
"238836",433
"38313",370
"712036",355
"2864208",343
"2018305",271
"558541",262
"62322",241
"404011",217
"1028752",216
"256839",203
"2829809",199
"70864",189
"70863",186
"1965282",177
"3050637",171
"192073",158
"60961",150
"2814292",150
"150120",140
"60478",132
"2864212",125
"271098",123
"518738",118
"2864205",111
"271097",103
"2593655",100
"225848",98
"2487742",89
"2864213",88
"2814294",85
"60217",78
"2590884",77
"260364",70
"2864211",68
"24",67
"1173586",62
"173975",56
"2864203",44
"56812",43
"2864209",42
"2864207",40
"2814293",36
"1738770",31
"2726434",30
"2864204",28
"768528",19
"43661",9
"359303",7
"1987584",3
"755175",2
"2588449",2
"342950",402
"2547970",86
"72275",8
"226",325
"3079555",337
"3135644",223
"2267264",162
"2058133",86
"2961948",83
"1714845",37
"3002962",25
"2785913",16
"2358187",15
"1917158",5
"314275",692
"28108",514
"1479524",198
"1858656",93
"715451",66
"589873",63
"233316",12
"288793",97
"2785918",481
"914153",403
"2303538",270
"2572577",22
"261825",162
"182262",210
"2937286",102
"2652721",26
"3082387",3
"1563703",80
"680279",19
"2984846",520
"1740262",71
"2686358",157
"3042615",53
"2686359",45
"197222",160
"326544",121
"1632866",115
"2935863",103
"2961619",60
"1526571",226
"2183582",207
"2831148",203
"2259620",190
"1631968",148
"300231",138
"1234606",22
"2172099",16
"3053655",5
"53246",1423
"2822842",255
"1709477",199
"3036714",162
"3035452",48
"2951137",47
"2822846",46
"1390185",35
"2003316",28
"2699396",26
"1720343",26
"2839744",25
"1514074",14
"2490635",13
"2759705",12
"2822847",9
"2799564",8
"562716",5
"2907156",4
"116092",4
"3071081",2
"3112573",2
"234831",2
"283699",2
"2692624",1
"2587843",1
"2916633",1
"182141",388
"43657",303
"107327",278
"43658",278
"176102",267
"882626",254
"43662",232
"298657",231
"2774154",228
"166935",193
"314281",187
"161398",130
"339617",119
"227",96
"247523",86
"137779",69
"1348114",61
"2518973",50
"394751",42
"28107",41
"77608",27
"267375",23
"570156",21
"206042",11
"1190813",11
"43659",6
"43660",5
"152297",3
"151081",2
"621376",1
"2820710",125
"1266052",100
"2744479",163
"267889",14
"137583",17
"137584",690
"485447",408
"485448",238
"2689569",560
"1816219",149
"2583805",100
"2497879",95
"58049",75
"1816218",75
"2161872",34
"28229",87
"2594005",263
"2769490",48
"2552945",20
"1230533",217
"1763536",98
"2054316",82
"1759089",80
"349064",65
"3030492",9
"718192",61
"1967665",47
"135575",19
"2055892",246
"3100175",239
"2100422",199
"3095365",23
"1874361",20
"135577",329
"86102",66
"1096243",41
"1940690",66
"44012",411
"3028878",192
"2822844",100
"2724191",105
"58050",21
"90736",377
"2746230",97
"2746231",65
"2746233",12
"2746232",6
"69539",125
"357794",292
"314282",121
"641",519
"662",6176
"2819101",408
"2908646",301
"2779363",287
"2912314",225
"3042300",191
"3021011",168
"2714948",152
"2785746",131
"3035453",125
"2751178",104
"2819096",104
"2819098",94
"2912315",91
"3064001",71
"2785124",69
"2802577",62
"2587865",60
"2751176",40
"391586",40
"2993714",38
"2163016",37
"2819100",27
"2785123",23
"2751179",18
"2942997",15
"2751177",13
"2817385",10
"678",5
"2976237",3
"1116375",2
"864336",1
"2589990",1
"1603038",1
"670",921
"680",410
"669",363
"696485",150
"512649",109
"150340",38
"50719",15
"663",72
"190895",60
"691",31
"766224",1
"29495",670
"28171",563
"1918945",500
"190893",475
"1481914",384
"29494",368
