"","sa1"
"41997",576
"417368",539
"2005703",509
"53345",384
"118060",370
"1805431",210
"44009",91
"1353",71
"2839759",16
"357441",1
"2737",109
"2738",764
"218144",593
"3109030",449
"2925838",109
"81947",418
"2920380",367
"2714946",252
"2991418",244
"2571750",171
"2714947",153
"2562451",122
"519472",94
"633807",53
"51668",15
"51669",1061
"526944",251
"290335",187
"33970",263
"33958",1124
"1578",973
"2594495",281
"2879107",231
"2983208",179
"2099789",63
"2594496",55
"2099788",29
"2695882",24
"2983210",22
"2983232",20
"2594494",13
"1545702",1
"1584",1021
"151781",539
"33959",468
"1604",467
"2012495",415
"83683",394
"47770",386
"1596",337
"1587",272
"1218494",217
"1579",203
"1218493",199
"227945",192
"303541",156
"508451",142
"2976676",134
"109790",101
"2107999",92
"267818",83
"2993455",61
"147802",60
"1600",47
"2269374",14
"2767887",154
"1624",2034
"1623",1944
"1601",757
"1605",536
"1622",536
"1606",480
"89059",381
"3050131",172
"228229",138
"762833",136
"2742598",143
"1598",1300
"1613",511
"97478",381
"1632",222
"1633",193
"47493",105
"227942",77
"35787",71
"2742601",40
"104955",29
"2759736",565
"1597",708
"47715",560
"171523",310
"88233",271
"2100821",195
"1582",121
"3025672",91
"57037",71
"3068305",7
"1243",953
"1245",438
"1246",260
"115778",154
"1244",58
"33964",177
"33968",103
"2766470",86
"1252",83
"136609",26
"2698683",4
"979982",2
"255248",4
"46255",52
"155866",460
"1249",438
"1583",312
"759620",214
"1631871",189
"137591",105
"1629",79
"1162633",73
"2714949",28
"165096",26
"2767842",111
"1590",673
"1589",513
"2993456",370
"60520",111
"271881",27
"2767879",134
"1602",253
"1612",227
"83526",160
"1007676",154
"2304606",145
"938155",106
"1074467",103
"1847728",80
"2714036",40
"392416",14
"2767881",124
"1614",402
"53444",227
"2940300",220
"2940299",201
"1625",82
"2940301",47
"1750535",18
"2940297",1
"1581",548
"1588",442
"1138822",92
"152331",74
"2883998",57
"33962",54
"2767885",83
"28038",474
"1599",382
"164393",180
"60519",124
"2767886",1
"1580",501
"267363",309
"380393",253
"2292255",137
"637971",24
"1253",57
"114090",312
"1254",286
"1255",262
"187452",171
"51663",100
"2962679",1
"293371",643
"1296540",122
"1193095",43
"2767889",4
"375175",401
"1607",143
"1610",92
"2767888",2
"82688",423
"468911",115
"1618",93
"1247",265
"2203724",243
"336988",49
"3118928",5
"2932184",390
"2932183",148
"2506420",494
"240427",312
"176292",98
"148814",309
"2419772",41
"1218495",12
"2923364",9
"1303590",142
"2923362",133
"2923363",84
"304207",349
"2940302",250
"2925830",178
"231049",161
"1720083",138
"1603",132
"51664",27
"186828",71
"117563",10
"46124",2944
"137732",748
"82802",472
"189665",1344
"2094020",368
"82803",277
"2747",212
"2751",604
"208596",217
"2800128",60
"1564681",5
"174587",294
"2748",276
"147709",170
"1470540",47
"2496265",650
"1868793",548
"2908211",340
"1903686",15
"708126",224
"1868794",83
"82801",566
"29394",281
"1911586",114
"186827",163
"1375",414
"87541",603
"119206",376
"128944",376
"2976810",276
"1377",255
"3078812",197
"2976812",171
"51665",164
"2976809",93
"1376",37
"13075",115
"2885764",595
"13076",232
"89093",904
"46125",883
"2969821",782
"178214",280
"2036206",228
"87458",174
"1737405",20
"1570339",913
"162289",5
"54006",1424
"54005",766
"3016343",752
"3036303",230
"33033",2506
"165779",684
"33037",403
"3036300",373
"33034",319
"1287640",102
"1870984",89
"1852373",1431
"40091",657
"72026",523
"1260",1172
"2931922",1059
"3035694",1488
"3070999",1004
"1582259",599
"2507161",2387
"2992719",6
"45497",681
"1278232",412
"1556",568
"116090",408
"3070995",2276
"3109366",1454
"2816908",1067
"46507",507
"1852374",274
"44000",1685
"1387555",565
"301953",538
"55205",302
"1387557",264
"2806205",218
"717609",178
"413888",163
"29324",98
"1222016",77
"31899",63
"413889",47
"3019889",35
"44001",26
"338645",622
"1871025",562
"3109565",154
"3109564",144
"1555112",177
"243899",339
"85007",1622
"1762",1702
"1866885",2444
"319707",49944
"319706",2935
"3064286",445
"2908837",239
"3064284",167
"3056937",152
"3023370",108
"3042320",85
"1968788",60
"2755560",13
"2024615",7
"56689",1461
"1772",659
"1795",590
"134601",490
"39688",377
"1766",371
"2736649",346
"2761578",299
"216929",296
"258505",265
"53462",254
"39694",247
"39687",212
"1801",206
"1793",205
"758802",200
"1771",194
"39692",185
"146017",179
"1800",178
"1791",177
"1534349",163
"1797",162
"1534348",160
"2487344",160
"39695",152
"1286181",150
"1792",150
"318424",148
"152142",146
"36813",142
"1552759",139
"1794",137
"28047",131
"1804",119
"444597",114
"1799",112
"370526",111
"212765",108
"39691",107
"117567",97
"67081",96
"1431246",94
"1810",92
"1286180",92
"36814",84
"370524",81
"110539",80
"85693",78
"46351",77
"1796",69
"1802",63
"1249101",59
"388459",51
"98668",43
"85968",41
"126673",35
"1763",736
"78331",4634
"1773",21
"2099693",355
"2903536",319
"3073562",222
"2867005",166
"2991729",137
"1936029",124
"2675523",124
"2099694",117
"1545728",113
"1547487",99
"212767",99
"2857060",95
"2975989",80
"2857059",76
"2099695",73
"2991728",68
"2857058",60
"2675524",32
"1168287",1
"141349",313
"220927",222
"185642",194
"722731",165
"292462",110
"1784",104
"120959",77
"53376",74
"470076",52
"1764",260
"339268",183
"1767",110
"560555",73
"1138383",23
"701042",21
"2775496",19
"44010",500
"886343",400
"265949",68
"1781",57
"1809",49
"133549",2
"482462",277
"1775",235
"1389713",215
"1769",205
"2943498",205
"1682113",201
"1768",172
"169765",161
"1778",157
"486698",145
"1719132",141
"1789",128
"459858",128
"110505",120
"2094119",114
"577492",109
"590652",102
"3027808",96
"398694",62
"2738409",60
"39689",50
"29311",49
"43348",41
"1430326",37
"480418",26
"1780",23
"28045",12
"386911",11
"2492438",2
"670516",61
"1774",776
