,kraken2_report
1963025,126.0
691437,76.0
550542,36.0
391290,31.0
2954744,24.0
1813182,8.0
2954614,1.0
129338,425.0
1462,87.0
33938,44.0
33941,24.0
1394,1.0
33940,40.0
1422,25.0
860353,14.0
213419,3.0
1329200,109.0
2991053,1430.0
1017270,896.0
1221500,451.0
255247,447.0
2837504,1813.0
1476025,573.0
1398,480.0
2954674,125.0
2954703,53.0
2921510,29.0
38875,74.0
45667,22.0
45668,1123.0
1570,696.0
2932257,393.0
554880,251.0
2932258,221.0
402384,171.0
2932259,93.0
3052090,57.0
150247,271.0
247480,663.0
1636720,355.0
2954655,48.0
1490057,1.0
198467,555.0
294699,540.0
33934,271.0
1221880,2.0
2921389,568.0
2829187,315.0
2921550,143.0
2921549,125.0
2303505,29.0
2954547,21.0
2283160,693.0
1906945,227.0
1295642,774.0
2916802,496.0
153151,343.0
1426,251.0
81408,147.0
2837510,1.0
254758,1080.0
2921432,37.0
2954699,18.0
2924033,849.0
1413,738.0
1055323,923.0
2954608,118.0
2954613,114.0
2954611,79.0
2954706,57.0
2954683,6.0
33936,143.0
1868734,35.0
2837511,570.0
2921670,435.0
3004096,64.0
79883,383.0
33932,5.0
2893057,894.0
79880,287.0
300825,129.0
766894,14.0
2598861,1.0
632773,758.0
85683,526.0
459532,257.0
2850441,417.0
2921447,405.0
386490,98.0
361277,45.0
1449,1148.0
74385,51.0
2932255,528.0
2663022,400.0
2932256,156.0
2594883,641.0
2844358,430.0
289201,11.0
2777185,427.0
2692425,329.0
265426,205.0
79885,913.0
1472767,419.0
2518176,309.0
2911514,182.0
1667239,848.0
2213194,833.0
1230341,795.0
3033930,1.0
2980027,426.0
2980026,269.0
371036,689.0
2685905,63.0
2099786,252.0
2743000,172.0
2502791,145.0
2743001,49.0
2729421,671.0
1467,638.0
2933872,607.0
86665,564.0
3077789,561.0
2593652,553.0
2924032,286.0
2926399,140.0
2924034,87.0
2651284,493.0
996558,492.0
3131995,483.0
208199,481.0
296745,370.0
2924031,344.0
2921616,321.0
199441,318.0
1532552,296.0
35841,176.0
570278,117.0
2592382,79.0
186822,1920.0
44249,24530.0
2954535,1594.0
2918901,1583.0
2072642,1418.0
1536773,1270.0
2921687,1249.0
2996034,1234.0
2895946,1202.0
2954525,1155.0
2921711,1148.0
2921495,1137.0
1870819,1105.0
1920422,1046.0
1532905,1045.0
2859228,982.0
2954679,925.0
2282849,912.0
2979727,893.0
2921460,886.0
2954506,774.0
324057,750.0
1536772,725.0
2908839,711.0
2758563,700.0
1695218,697.0
2741301,669.0
2954685,665.0
2866810,664.0
2954742,658.0
2921714,656.0
2925845,649.0
2921677,610.0
3078263,601.0
2921679,590.0
2921361,575.0
2023772,554.0
2954691,543.0
1306526,504.0
2921709,481.0
2921399,470.0
3039392,468.0
867076,447.0
1566358,443.0
2777983,419.0
715179,384.0
3073092,373.0
2954526,357.0
2878915,355.0
2921450,338.0
1536774,329.0
2762320,306.0
1926588,289.0
1536771,279.0
2954618,276.0
3047872,275.0
2921651,252.0
2607911,249.0
2921652,244.0
2835869,242.0
2921375,208.0
2975345,200.0
2921654,170.0
2211212,165.0
2921636,164.0
3032287,148.0
2921357,146.0
2921370,140.0
2954686,139.0
2976834,134.0
2954661,114.0
2921648,111.0
2954726,106.0
2487928,87.0
1906272,82.0
2926710,74.0
2975317,72.0
2975292,70.0
2954732,69.0
2921610,68.0
2921443,67.0
3025665,66.0
2975291,64.0
2921695,64.0
2921656,64.0
2921430,63.0
2954659,62.0
2975339,61.0
2954663,57.0
2777984,57.0
2921604,56.0
1536769,55.0
2921435,46.0
2069255,44.0
2921655,43.0
2921657,42.0
1740264,41.0
2921710,33.0
2954505,33.0
3122489,32.0
2748863,28.0
2954512,27.0
1920424,23.0
2660554,23.0
1536770,23.0
2954532,21.0
2921378,19.0
2921658,19.0
2921386,18.0
2954619,17.0
3049075,17.0
1980674,15.0
1920423,14.0
1536775,14.0
3024576,13.0
2921647,13.0
2921697,12.0
2921437,12.0
2921673,11.0
2921626,10.0
2871175,10.0
2954752,9.0
2921641,6.0
2921645,5.0
2921667,5.0
2921631,4.0
2921702,4.0
3045840,3.0
2823904,3.0
2954727,3.0
2921428,2.0
2954504,2.0
2954739,1.0
2954734,1.0
2823905,1.0
2954728,1.0
1406,1682.0
373687,716.0
483937,623.0
61624,1560.0
1126833,1275.0
414771,1275.0
44252,1266.0
1616788,1265.0
130049,1206.0
1712516,1155.0
2707005,1058.0
116718,1026.0
169760,990.0
189691,978.0
2704462,935.0
521520,906.0
682956,899.0
2918900,891.0
162209,887.0
375489,884.0
1473112,867.0
539262,851.0
2020716,829.0
189425,808.0
1178515,807.0
44251,805.0
79263,794.0
1778678,777.0
171404,760.0
1338368,756.0
44250,754.0
1464,748.0
49283,718.0
1462996,712.0
1472,682.0
3050112,680.0
1333845,669.0
2565926,647.0
160799,610.0
159743,609.0
1870820,604.0
2975482,580.0
1873425,575.0
2509456,574.0
365617,572.0
59893,554.0
2726185,538.0
2909671,525.0
562959,524.0
2810347,522.0
1174501,521.0
1763538,513.0
198119,488.0
2704463,487.0
3110539,458.0
2495582,450.0
253703,430.0
1619311,386.0
1886670,367.0
307580,287.0
1452732,271.0
1451,258.0
172713,234.0
3026433,226.0
128574,221.0
1401,110.0
683737,99.0
248903,98.0
528187,91.0
59843,87.0
528191,53.0
189426,9.0
55080,3492.0
1393,2400.0
2950604,1262.0
319501,405.0
2954680,239.0
2738979,76.0
3003229,57.0
2738867,44.0
2778370,12.0
2683193,11.0
2954682,7.0
2796470,824.0
2895522,780.0
54911,738.0
1465,616.0
2496837,477.0
54914,156.0
927786,86.0
54913,79.0
51101,59.0
45462,15.0
329857,61.0
2598458,887.0
1619153,858.0
2728023,610.0
2507935,386.0
2674991,348.0
55079,679.0
2966586,793.0
1500254,573.0
3022697,417.0
1450761,2.0
143495,72.0
